T,Salt,Cs,fs,Cp,Gamma,Eta,Eta_pred,Eta_abs_err
25,NaCl,1,0.5,4.0,0.0129,3153.5,3144.9026372103663,8.597362789633735
25,NaCl,1,0.5,4.0,0.0167,2942.1,2949.042694641336,6.942694641335947
25,NaCl,1,0.5,4.0,0.0215,2723.7,2736.0845955475475,12.384595547547633
25,NaCl,1,0.5,4.0,0.0278,2482.3,2494.033901630198,11.733901630198034
25,NaCl,1,0.5,4.0,0.0359,2234.2,2245.1093765627897,10.90937656278993
25,NaCl,1,0.5,4.0,0.0464,1985.1,1988.09448107241,2.9944810724100535
25,NaCl,1,0.5,4.0,0.0599,1746.1,1744.0204517589648,2.079548241035127
25,NaCl,1,0.5,4.0,0.0774,1525.1,1522.417702390526,2.682297609473835
25,NaCl,1,0.5,4.0,0.1,1322.2,1317.745523177088,4.454476822912056
25,NaCl,1,0.5,4.0,0.129,1140.5,1134.024799890855,6.475200109144907
25,NaCl,1,0.5,4.0,0.167,974.56,970.5603278623026,3.999672137697303
25,NaCl,1,0.5,4.0,0.215,830.54,826.8435291589338,3.696470841066116
25,NaCl,1,0.5,4.0,0.278,703.94,700.1447270399374,3.7952729600626753
25,NaCl,1,0.5,4.0,0.359,594.0,592.5649475461838,1.4350524538161835
25,NaCl,1,0.5,4.0,0.464,499.48,500.4879117806739,1.0079117806739077
25,NaCl,1,0.5,4.0,0.599,418.78,421.4898538050049,2.7098538050049115
25,NaCl,1,0.5,4.0,0.774,349.67,351.41783665971843,1.7478366597184163
25,NaCl,1,0.5,4.0,1.0,292.93,292.9133185210627,0.016681478937300653
25,NaCl,1,0.5,4.0,1.29,244.53,245.97403887395149,1.4440388739514844
25,NaCl,1,0.5,4.0,1.67,203.64,204.90369393408244,1.263693934082454
25,NaCl,1,0.5,4.0,2.15,169.68,175.12593736902392,5.445937369023909
25,NaCl,1,0.5,4.0,2.78,141.57,144.7596473344474,3.1896473344474146
25,NaCl,1,0.5,4.0,3.59,118.03,121.0415351707836,3.0115351707836027
25,NaCl,1,0.5,4.0,4.64,98.567,100.670679233019,2.103679233019008
25,NaCl,1,0.5,4.0,5.99,82.549,84.85337253577983,2.3043725357798195
25,NaCl,1,0.5,4.0,7.74,69.249,70.7108796359886,1.461879635988609
25,NaCl,1,0.5,4.0,10.0,58.231,59.47207470961009,1.2410747096100891
25,NaCl,1,0.5,4.0,12.9,49.166,50.00150944343131,0.8355094434313131
25,NaCl,1,0.5,4.0,16.7,41.664,42.5809842170093,0.9169842170093006
25,NaCl,1,0.5,4.0,21.5,35.43,36.202506221041645,0.7725062210416453
25,NaCl,1,0.5,4.0,27.8,30.241,31.23716801226476,0.9961680122647607
25,NaCl,1,0.5,4.0,35.9,25.94,26.683522002589495,0.7435220025894935
25,NaCl,1,0.5,4.0,46.4,22.377,22.75895769362615,0.38195769362615195
25,NaCl,1,0.5,4.0,59.9,19.39,19.794719019747994,0.4047190197479935
25,NaCl,1,0.5,4.0,77.4,16.909,17.363280620280154,0.45428062028015503
25,NaCl,1,0.5,4.0,100.0,14.855,15.815977283415657,0.9609772834156569
25,NaCl,1,0.5,4.0,129.0,13.116,13.38962050743713,0.27362050743712985
25,NaCl,1,0.5,4.0,167.0,11.459,11.730459756597469,0.27145975659746924
25,NaCl,1,0.5,4.0,215.0,10.171,10.684339455472621,0.5133394554726216
25,NaCl,1,0.5,4.0,278.0,9.0412,9.221129507186852,0.17992950718685208
25,NaCl,1,0.5,4.0,359.0,7.6814,7.833847057183822,0.15244705718382168
25,NaCl,1,0.5,4.0,464.0,6.8257,7.2359163165818865,0.4102163165818862
25,NaCl,1,0.5,4.0,599.0,8.026,7.870450943557844,0.15554905644215555
25,NaCl,1,0.5,4.0,774.0,8.6107,8.417400082518455,0.19329991748154463
25,NaCl,1,0.5,4.0,1000.0,9.0732,8.883966717091491,0.18923328290850883
25,NaCl,1,0.5,0.2,0.1,5.5737,5.775654843206254,0.20195484320625479
25,NaCl,1,0.5,0.2,0.141,6.4497,6.111923373790715,0.33777662620928517
25,NaCl,1,0.5,0.2,0.198,5.3465,5.31128642330596,0.035213576694039794
25,NaCl,1,0.5,0.2,0.278,4.7967,4.652739797259256,0.14396020274074406
25,NaCl,1,0.5,0.2,0.391,4.0345,4.058132981053173,0.02363298105317302
25,NaCl,1,0.5,0.2,0.55,3.6816,3.7380924480108195,0.05649244801081954
25,NaCl,1,0.5,0.2,0.774,3.6078,3.6541388410918256,0.04633884109182551
25,NaCl,1,0.5,0.2,1.09,3.8153,3.686082464801588,0.12921753519841195
25,NaCl,1,0.5,0.2,1.53,3.3686,3.412933394961889,0.04433339496188937
25,NaCl,1,0.5,0.2,2.15,3.4427,3.3092282903096684,0.1334717096903315
25,NaCl,1,0.5,0.2,3.03,3.0237,3.0409858063824675,0.017285806382467683
25,NaCl,1,0.5,0.2,4.26,2.8829,2.8755552834407654,0.00734471655923441
25,NaCl,1,0.5,0.2,5.99,2.7042,2.7111905385531236,0.006990538553123482
25,NaCl,1,0.5,0.2,8.43,2.5484,2.5575495900044607,0.009149590004460695
25,NaCl,1,0.5,0.2,11.9,2.385,2.394201775055474,0.009201775055474037
25,NaCl,1,0.5,0.2,16.7,2.2273,2.233324726606868,0.006024726606868036
25,NaCl,1,0.5,0.2,23.5,2.0794,2.101962135873717,0.022562135873716915
25,NaCl,1,0.5,0.2,33.0,1.9657,1.9860029228379044,0.020302922837904358
25,NaCl,1,0.5,0.2,46.4,1.8656,1.902046629577918,0.036446629577918
25,NaCl,1,0.5,0.2,65.3,1.7976,1.827915554983464,0.030315554983463944
25,NaCl,1,0.5,0.2,91.8,1.7416,1.7750446749392104,0.03344467493921033
25,NaCl,1,0.5,0.2,129.0,1.7266,1.7845135301512773,0.057913530151277426
25,NaCl,1,0.5,0.2,182.0,2.0481,2.050294466955747,0.0021944669557472096
25,NaCl,1,0.5,0.2,256.0,2.6263,2.55496727631392,0.0713327236860799
25,NaCl,1,0.5,0.2,359.0,3.1765,2.9693877769289894,0.20711222307101051
25,NaCl,1,0.5,0.2,505.0,3.7098,3.506171224350997,0.20362877564900295
25,NaCl,1,0.5,0.2,711.0,3.6536,3.667184518712811,0.013584518712811189
25,NaCl,1,0.5,0.2,1000.0,3.3413,3.6990179749648333,0.3577179749648334
25,NaCl,1,0.5,0.03,1.0,0.85602,0.8995512240349304,0.04353122403493037
25,NaCl,1,0.5,0.03,1.29,1.0965,1.092786189933047,0.0037138100669529273
25,NaCl,1,0.5,0.03,1.67,1.2704,1.1714917483695007,0.09890825163049932
25,NaCl,1,0.5,0.03,2.15,1.1676,1.1387862643109652,0.02881373568903478
