T,Salt,Cs,fs,Cp,Gamma,Eta_true,Eta_pred_DecisionTree,Eta_pred_RandomForest,Eta_pred_GBT,Eta_pred_XGBoost,Eta_pred_LinearRegression
25,NaCl,1,0.5,0.8,5.99,14.859,15.700896742869183,14.102411120223644,9.674960762723465,9.396423,15.440786877674869
25,NaCl,1,0.5,0.8,7.74,13.1,11.601100839263811,12.56577799934374,9.095945539843683,9.053485,15.350133812217049
25,NaCl,1,0.5,0.8,10.0,11.597,11.601100839263811,11.36743228294206,8.549324888639443,8.387231,15.233848888785156
25,NaCl,1,0.5,0.8,12.9,10.273,9.116082115351803,9.609051743494794,6.9543285508561965,7.4670997,15.08592323058048
25,NaCl,1,0.5,0.8,16.7,9.0955,9.116082115351803,8.674116710782442,6.434895565439204,7.2485023,14.894261673278935
25,NaCl,1,0.5,0.8,21.5,8.0505,6.803158351440617,7.5401277730068115,5.840362597124368,6.698273,14.655639468057801
25,NaCl,1,0.5,0.8,27.8,7.1801,6.803158351440617,6.791711669822844,5.771974991205346,5.679168,14.348239794918342
25,NaCl,1,0.5,0.8,35.9,6.3865,6.803158351440617,6.095372962781298,5.081251095260475,5.4201417,13.962466757335532
25,NaCl,1,0.5,0.8,46.4,5.7011,4.914350137014924,5.564139976451302,4.791651562209285,5.0140553,13.47778656634631
25,NaCl,1,0.5,0.8,59.9,5.1344,4.914350137014924,4.90800335139171,4.755812081552254,4.7258077,12.879266145162163
25,NaCl,1,0.5,0.8,77.4,4.6256,4.914350137014924,4.4600214420157265,4.689307955079904,4.5312757,12.142790121337214
25,NaCl,1,0.5,0.8,100.0,4.2458,3.819182353671756,4.176555387867703,4.672959829988133,4.452624,11.25364638884485
25,NaCl,1,0.5,4.0,0.001,2174.9,2873.2233325633474,2706.551650617721,2976.0500321903296,2930.9658,20.24575708991976
25,NaCl,1,0.5,4.0,0.00129,2877.3,2873.2233325633474,2878.4750755202285,3284.783378774475,3159.1821,20.245737334565185
25,NaCl,1,0.5,4.0,0.00167,3206.9,2873.2233325633474,3151.9972007056826,3058.8964730207285,2950.819,20.245711448267667
25,NaCl,1,0.5,4.0,0.00215,3396.0,2873.2233325633474,3338.2809614356597,3074.829022738826,2950.819,20.245678749833907
25,NaCl,1,0.5,4.0,0.00278,3522.1,3539.3483682293822,3410.501764985131,3047.3699728762135,2950.819,20.245635833219747
25,NaCl,1,0.5,4.0,0.00359,3599.1,3539.3483682293822,3444.5413450868473,3047.3699728762135,2886.9575,20.245580654849498
25,NaCl,1,0.5,4.0,0.00464,3597.6,3539.3483682293822,3261.6440376613277,3143.2871911555367,2657.3965,20.245509127556332
25,NaCl,1,0.5,4.0,0.006,3529.4,3539.3483682293822,3359.673899074068,2609.633458150446,2593.3538,20.245416483057006
25,NaCl,1,0.5,4.0,0.00774,3450.7,3539.3483682293822,3086.6665780842764,2609.633458150446,2641.5352,20.245297953212816
25,NaCl,1,0.5,4.0,0.01,3311.1,3024.443378468533,2972.6859831180914,1769.59380723318,1984.6403,20.245144001692587
25,NaCl,1,0.5,4.0,0.0129,3153.5,3024.443378468533,2787.343267239259,1743.6331734781722,1566.2349,20.24494645499659
25,NaCl,1,0.5,4.0,0.0167,2942.1,3024.443378468533,2459.3009371365997,1331.886945974239,1336.6848,20.244687603623056
25,NaCl,1,0.5,4.0,0.0215,2723.7,3024.443378468533,2519.7049254282288,1331.886945974239,1412.7131,20.244360638197723
25,NaCl,1,0.5,4.0,0.0278,2482.3,2630.937982037717,2234.6300453895446,1264.0403877637123,1379.162,20.243931504090856
25,NaCl,1,0.5,4.0,0.0359,2234.2,2630.937982037717,2378.6880258001647,1240.502570000814,1346.6089,20.243379773605668
25,NaCl,1,0.5,4.0,0.0464,1985.1,2073.955699999047,2140.5111002826925,1339.4880726514575,1297.3428,20.24266458980115
25,NaCl,1,0.5,4.0,0.0599,1746.1,2073.955699999047,1918.9524413010695,1349.6579963596623,1464.2672,20.24174510489356
25,NaCl,1,0.5,4.0,0.0774,1525.1,1462.994939280508,1685.639941662211,1543.937837472395,1464.2672,20.240553242174908
25,NaCl,1,0.5,4.0,0.1,1322.2,1462.994939280508,1460.4778580340158,1209.4856930620467,1034.6401,20.239014140442993
25,NaCl,1,0.5,4.0,0.129,1140.5,1462.994939280508,1249.205083593779,1215.6814825393828,1026.9036,20.237039358332346
25,NaCl,1,0.5,4.0,0.167,974.56,992.7506258058585,1099.5932724651384,1028.9300487135029,855.33606,20.23445200446815
25,NaCl,1,0.5,4.0,0.215,830.54,992.7506258058585,907.664782326236,948.6648388007392,851.4139,20.231184240835173
25,NaCl,1,0.5,4.0,0.278,703.94,651.6052097489555,763.7483899799358,791.7684294982253,703.75024,20.226896101921295
25,NaCl,1,0.5,4.0,0.359,594.0,651.6052097489555,666.2349274286662,770.7946930940926,708.4192,20.221384115961044
25,NaCl,1,0.5,4.0,0.464,499.48,651.6052097489555,569.2600851870415,725.4037471297532,688.63007,20.214241184489985
25,NaCl,1,0.5,4.0,0.599,418.78,418.861422314237,457.98443421523046,573.7544777941526,573.2385,20.205061122808356
25,NaCl,1,0.5,4.0,0.774,349.67,418.861422314237,393.92986730987593,496.4615775587279,526.8614,20.19316724748921
25,NaCl,1,0.5,4.0,1.0,292.93,291.99353939741155,303.5383585434566,220.544525676989,233.68579,20.17781751585385
25,NaCl,1,0.5,4.0,1.29,244.53,291.99353939741155,266.84852083620746,208.36444352576805,223.31503,20.15813804853374
25,NaCl,1,0.5,4.0,1.67,203.64,184.51525266800806,218.08097833492923,164.58452379325206,188.92097,20.13238020998217
25,NaCl,1,0.5,4.0,2.15,169.68,184.51525266800806,185.4591840648371,162.86358124373558,160.54012,20.09989103231333
25,NaCl,1,0.5,4.0,2.78,141.57,184.51525266800806,165.01105054044106,151.8203258681285,151.789,20.057328540315098
25,NaCl,1,0.5,4.0,3.59,118.03,106.82497306178492,136.87246354773137,138.97493647776378,133.38165,20.002737742779644
25,NaCl,1,0.5,4.0,4.64,98.567,106.82497306178492,111.14172594861033,130.55245759883053,119.516174,19.932192975002167
25,NaCl,1,0.5,4.0,5.99,82.549,106.82497306178492,86.33175467085745,110.21921670846528,112.58599,19.841858011507775
25,NaCl,1,0.5,4.0,7.74,69.249,62.885374451336425,73.08351044520191,92.42099287119261,84.51643,19.72536619879307
25,NaCl,1,0.5,4.0,10.0,58.231,62.885374451336425,59.87669373587459,74.9305060713996,67.20877,19.57593670676694
