T,Salt,Cs,fs,Cp,Gamma,Eta_pred_DecisionTree,Eta_pred_RandomForest,Eta_pred_GBT,Eta_pred_XGBoost,Eta_pred_LinearRegression
140,NaCl,1000,0.5,100,4.64,988.8193922906745,1036.9699086309918,725.1201120331115,685.81866,2119.0054899852375
140,NaCl,1000,0.5,100,5.99,622.3853322739437,952.1528586410149,548.3820415951291,536.512,2109.40191631814
140,NaCl,1000,0.5,100,7.74,622.3853322739437,793.7465457377069,455.3998492368698,483.38272,2097.0175895664183
140,NaCl,1000,0.5,100,10.0,622.3853322739437,744.1188659834938,433.74981401755434,415.66794,2081.1316349017106
140,NaCl,1000,0.5,100,12.9,894.489943297563,643.0365479065362,384.3940822623382,369.90033,2060.9231656467723
140,NaCl,1000,0.5,100,16.7,894.489943297563,582.1440077007883,362.56778544351096,336.8448,2034.7398331871448
140,NaCl,1000,0.5,100,21.5,894.489943297563,473.15612975625754,313.70840873821334,295.67523,2002.1410970633221
140,NaCl,1000,0.5,100,27.8,894.489943297563,418.0799759872148,228.43758799232515,223.99303,1960.1465106000187
140,NaCl,1000,0.5,100,35.9,406.9407899234633,337.5315293342842,203.07675499903016,183.75052,1907.4451559872161
140,NaCl,1000,0.5,100,46.4,406.9407899234633,293.8907981628139,176.2219017045958,162.45717,1841.231864412528
140,NaCl,1000,0.5,100,59.9,406.9407899234633,250.04619681533674,154.59298906540775,142.73251,1759.4665934193256
140,NaCl,1000,0.5,100,77.4,406.9407899234633,191.885654194471,125.69175624769261,117.50954,1658.854885720355
140,NaCl,1000,0.5,100,100.0,171.9725046009527,144.2636362045888,108.33767765080181,98.86953,1537.386886190264
